gid	pagina	volgnr	standplaats	ol	nb	x	y	rang	latlon_bonne	crd_bonne
71	396	784	Schiermonnikoog (Kerktoren)	6.16096335555555541	53.47981666666666666667	84759	221009	1	01010000206E6C0400B9DCEF93D3A418405CB4EDA16ABD4A40	01010000206C6C04000000000070B1F4400000000088FA0A41
72	396	802	Sittard (Groote kerktoren)	5.86843557777777836	50.99922777777777777777	69094	-55238	1	01010000206E6C040027F4142D47791740B86721B2E67F4940	01010000206C6C04000000000060DEF04000000000C0F8EAC0
73	396	804	Sleen	6.80336057777777814	52.77658333333333333334	129483	143719	1	01010000206E6C04000FCEC127A4361B4086A4291567634A40	01010000206C6C040000000000B09CFF4000000000388B0141
74	397	811	Sneek	5.65905780000000025	53.03249444444444444445	51989	170771	1	01010000206E6C0400E1B1440CE0A21640651828C728844A40	01010000206C6C040000000000A062E9400000000098D80441
75	397	826	Stavoren	5.36073835555555611	52.88253333333333333334	32093	153915	1	01010000206E6C040086183E6565711540F5252EDAF6704A40	01010000206C6C0400000000004057DF4000000000D8C90241
76	398	847	Ter Apel (Klooster)	7.07589668888888923	52.87666666666666666667	147524	155366	1	01010000206E6C0400219C92DCB74D1C40D069039D36704A40	01010000206C6C040000000000200202410000000030F70241
77	399	860	Tongeren (Groote kerktoren)	5.4647383555555562	50.78113055555555555556	40955	-79799	1	01010000206E6C0400573B195FE4DB15403B020716FC634940	01010000206C6C04000000000060FFE34000000000707BF3C0
78	399	870	Uithuizermeeden	6.71044113333333314	53.40903055555555555556	121423	213907	1	01010000206E6C04006C9965E17DD71A408196FD1C5BB44A40	01010000206C6C040000000000F0A4FD4000000000981C0A41
79	399	874	Urk (Kerktoren)	5.59381057777777801	52.66287777777777777778	48020	129604	1	01010000206E6C0400374C4EE10F6016407E66D42DD9544A40	01010000206C6C0400000000008072E7400000000040A4FF40
25	379	351	's Heerenberg (Seminarium)	6.24192168888888865	51.87463333333333333334	93498	42543	1	01010000206E6C04002CE2B751BAF718403E542DFCF3EF4940	01010000206C6C040000000000A0D3F64000000000E0C5E440
18	377	299	's Gravenhage	4.30683002222222289	52.07783611111111111111	-39551	64437	1	01010000206E6C040066803BA6313A1140C4D59F88F6094A40	01010000206C6C040000000000E04FE3C000000000A076EF40
80	399	875	Utrecht (Domtoren)	5.12172168888888901	52.09112777777777777777	16297	65787	1	01010000206E6C040078F7439CA47C144007A83413AA0B4A40	01010000206C6C04000000000080D4CF4000000000B00FF040
81	401	918	Vuurbaak (op Vlieland)	5.05851057777777768	53.29651666666666666666	11640	199886	1	01010000206E6C04003F1A6832EA3B1440B1061542F4A54A40	01010000206C6C04000000000000BCC6400000000070660841
83	405	1016	Zierikzee	3.91492446666666716	51.65073333333333333333	-67043	17212	1	01010000206E6C0400122635EBC3510F40B88AD83A4BD34940	01010000206C6C040000000000305EF0C00000000000CFD040
84	405	1030	Zutphen	6.1959189111111117	52.14015000000000000000	89798	72019	1	01010000206E6C0400838F8FF79EC818406744696FF0114A40	01010000206C6C04000000000060ECF540000000003095F140
85	366	13	Ahaus	7.00724391111111089	52.07635555555555555556	145521	66228	1	01010000206E6C0400F744A5F26A071C4051FDD204C6094A40	01010000206C6C04000000000088C3014100000000402BF040
86	366	17	Alkmaar (Waagtoren)	4.75043002222222288	52.63187777777777777778	-9038	125930	1	01010000206E6C040022864DBA70001340F74FFB5EE1504A40	01010000206C6C04000000000000A7C1C000000000A0BEFE40
87	366	26	Amersfoort	5.38767446666666672	52.15566111111111111111	34470	73058	1	01010000206E6C0400744F0F89FA8C154099BD0AB4EC134A40	01010000206C6C040000000000C0D4E0400000000020D6F140
88	366	29	Amsterdam (Westertoren)	4.8838828000000003	52.37503611111111111111	0	97345	1	01010000206E6C0400D6FC9D92188913404705EC2E01304A40	01010000206C6C040000000000000000000000000010C4F740
90	367	46	Assenede	3.75351891111111158	51.22819444444444444445	-78935	-29625	1	01010000206E6C0400341E41EC34070E404702BE79359D4940	01010000206C6C0400000000007045F3C00000000040EEDCC0
91	367	58	Ballum (Kasteel)	5.68829946666666686	53.44193333333333333333	53428	216348	1	01010000206E6C040018C04C93D1C01640E7D67E4591B84A40	01010000206C6C0400000000008016EA4000000000E0680A41
