gid	page	nr	pagenr	jaar	txt1	txt2	crd_bessel	crd_wgs84	ast	excl	crss	latlon_bessel	latlon_wgs84
105934	52	1468	52-1468	1903	Gestel	R. C. K. Stang boven knop	0101000020806C0400E17A14AE8D900341A4703D0A0A4D1741	010100002040710000E17A14AE8D900341A4703D0A0A4D1741	 	 	^	0101000020D4100000C76BBA2499DA154025ED168582B64940	0101000020E6100000700B197523DA15408B859FEF64B64940
105935	53	1469	53-1469	1904	Geulle	R. C. K. Stang boven knop	0101000020806C040085EB51B8CAF10541B81E85EBA8ED1341	01010000204071000085EB51B8CAF10541B81E85EBA8ED1341	 	 	 	0101000020D410000064ECC0D3BEF51640B3000F76DC764940	0101000020E6100000861634553EF51640EE49D4C5C0764940
105936	53	1470	53-1470	1904	Geverik	R. C. K. Stang	0101000020806C0400EC51B81EC7590641E17A14AE22EA1341	010100002040710000EC51B81EC7590641E17A14AE22EA1341	 	 	 	0101000020D4100000F5988E7F322617409E7BC5FA94764940	0101000020E6100000B30A133AB0251740213C4F4C79764940
105937	53	1471	53-1471	1925	Giekerk	H. K. Stang	0101000020806C04008FC2F52808EC0641EC51B89E44D22141	0101000020407100008FC2F52808EC0641EC51B89E44D22141	 	 	 	0101000020D4100000A7BF6F2DC1831740C086A3BB079F4A40	0101000020E61000004FB1ADB83C83174028CC2728E39E4A40
105938	53	1472	53-1472	1905	Giesbeek I	R. C. K. Stang	0101000020806C04009A999999CFA808419A99999986321B41	0101000020407100009A999999CFA808419A99999986321B41	 	 	^	0101000020D41000004C517E3FFD491840775D520BB7FF4940	0101000020E6100000DB29B6AC7049184053C4653F97FF4940
105939	53	1473	53-1473	1910	Giesbeek II	R. C. K. Stang boven knop	0101000020806C040014AE47E132A908411F85EB5116321B41	01010000204071000014AE47E132A908411F85EB5116321B41	 	 	 	0101000020D410000088B7959C2B4A18405E60F3BDAEFF4940	0101000020E6100000BA0C0A089F491840905146F28EFF4940
105940	53	1474	53-1474	1906	Giessen	H. K. Stang boven knop	0101000020806C04001F85EB5188F2FF400AD7A370ADCC1941	0101000020407100001F85EB5188F2FF400AD7A370ADCC1941	 	 	 	0101000020D4100000559DE952882614402B817B0A8DE54940	0101000020E6100000EFE9DC3F23261440449AB4116EE54940
105941	53	1475	53-1475	1916	Giessendam	H. K. Stang boven knop	0101000020806C0400000000000888FC40C3F5285C2F0C1A41	010100002040710000000000000888FC40C3F5285C2F0C1A41	*	 	 	0101000020D41000007F2926A05E561340D853CAAB20EA4940	0101000020E61000008672746001561340C2523B9301EA4940
105942	53	1476	53-1476	1916	Giessen-Nieuwkerk	H. K. Stang boven knop	0101000020806C0400295C8FC2B571FD40B81E85EBA5351A41	010100002040710000295C8FC2B571FD40B81E85EBA5351A41	*	 	 	0101000020D4100000A6072BF6A48D1340C468BF4836ED4940	0101000020E61000000D6F17AE458D13400BE5941717ED4940
105943	53	329	53-329	1907	Giessen-Oudekerk	H. K. Stang boven knop	0101000020806C0400713D0AD7DB11FD40EC51B81E2F281A41	010100002040710000713D0AD7DB11FD40EC51B81E2F281A41	*	 	 	0101000020D41000004C247EB3F0761340DBD88D4B35EC4940	0101000020E6100000B343F84192761340FCFF782216EC4940
