gid	page	nr	pagenr	jaar	txt1	txt2	crd_bessel	crd_wgs84	ast	excl	crss	latlon_bessel	latlon_wgs84
107069	93	2308	93-2308	1906	Nederhemert I	H. K. Stang boven knop	0101000020806C04007B14AE475DE40041A4703D0AD3811941	0101000020407100007B14AE475DE40041A4703D0AD3811941	 	 	 	0101000020D4100000507E779772961440AF9ED2E612E04940	0101000020E6100000B253A54909961440886C7616F4DF4940
107070	93	2309	93-2309	1906	Nederhemert II	R. C. K. Dakruiter. Stang boven knop	0101000020806C040014AE47E140140141B81E85EB56991941	01010000204071000014AE47E140140141B81E85EB56991941	 	 	 	0101000020D41000007A5072A61BAD14400FFD83A3CFE14940	0101000020E6100000F2BB1B84B1AC1440577A82C5B0E14940
107071	93	2310	93-2310	1913	Nederhorst-den-Berg I	R. C. K. Stang boven onderste bloem	0101000020806C04007B14AE478914004114AE47E1A3011D41	0101000020407100007B14AE478914004114AE47E1A3011D41	*	 	 	0101000020D41000008877401FD32F1440DACAC18102224A40	0101000020E6100000AAAD514B6E2F14406AD494B8E1214A40
107072	93	2311	93-2311	1913	Nederhorst-den-Berg II	H. K. Stang	0101000020806C04007B14AE47030E00413333333382FF1C41	0101000020407100007B14AE47030E00413333333382FF1C41	*	 	 	0101000020D4100000016A40E5B32C1440649B0009DA214A40	0101000020E6100000BE35162F4F2C1440EF841641B9214A40
107073	93	44	93-44	1892	Nederweert	R. C. K. Knop	0101000020806C0400B29DEFA76BFE05413D0AD723855C1641	010100002040710000B29DEFA76BFE05413D0AD723855C1641	*	 	^	0101000020D41000006EF022E77FFE16401E19F081BAA44940	0101000020E61000002E844250FFFD164017CA1F729DA44940
107074	93	3640	93-3640	1901	Nederweert	R. C. K. Stang	0101000020806C040060E5D0226BFE0541F4FDD478855C1641	01010000204071000060E5D0226BFE0541F4FDD478855C1641	*	 	 	0101000020D41000009B06FFA87FFE16400CA13888BAA44940	0101000020E6100000ECED2012FFFD1640552268789DA44940
107075	93	2312	93-2312	1903	Nederwetten I	R. C. K. Stang	0101000020806C040085EB51B8980D0441E17A14AE6EC11741	01010000204071000085EB51B8980D0441E17A14AE6EC11741	 	 	 	0101000020D410000027701D49B8151640B0E91D2913BF4940	0101000020E610000097C7E776401516407B035851F5BE4940
107076	94	2313	94-2313	1903	Nederwetten II	Alleenstaande toren. Stang	0101000020806C0400C3F5285C130104416666666666C21741	010100002040710000C3F5285C130104416666666666C21741	 	 	 	0101000020D410000098E3B019D00F16400FD67D9D25BF4940	0101000020E6100000C005B67F580F1640F4AF39C507BF4940
107077	94	488	94-488	1902	Neede I	H. K. Stang boven knop	0101000020806C040048E17A14122B0D41A4703D0A9F241C41	01010000204071000048E17A14122B0D41A4703D0A9F241C41	*	 	^	0101000020D4100000CE4720839E741A4041CC6A3FFB104A40	0101000020E61000000F26CD1CFD731A402AA108EEDA104A40
107078	94	3641	94-3641	1927	Neede I	H. K. Stang	0101000020806C0400D7A3703D122B0D4148E17A149F241C41	010100002040710000D7A3703D122B0D4148E17A149F241C41	*	 	 	0101000020D41000009BB0E4969E741A40B0462540FB104A40	0101000020E61000003FD09030FD731A400716C3EEDA104A40
107079	94	2314	94-2314	1902	Neede II	R. C. K. Stang	0101000020806C0400D7A3703D2E260D410AD7A3706B2B1C41	010100002040710000D7A3703D2E260D410AD7A3706B2B1C41	 	 	 	0101000020D410000096F4398A63721A40DC625F297C114A40	0101000020E6100000173A4A39C2711A402F931ED45B114A40
107080	94	2315	94-2315	1901	Neer	R. C. K. Stang boven knop	0101000020806C040033333333530B0841666666663E311641	01010000204071000033333333530B0841666666663E311641	 	 	 	0101000020D4100000BE689FA5BDF4174066F303076AA14940	0101000020E6100000A46060F333F4174015DAFE0E4DA14940
107081	94	2316	94-2316	1906	Neerandel	H. K. Stang boven knop	0101000020806C04003D0AD7A3501C0041A4703D0AD2BD1941	0101000020407100003D0AD7A3501C0041A4703D0AD2BD1941	 	 	 	0101000020D4100000F28A521D3F3714400EB7628276E44940	0101000020E61000005DACC467D936144083A4B59157E44940
107082	94	2317	94-2317	1900	Neerbosch I	H. K. Stang	0101000020806C0400B81E85EB277B0641AE47E17A57171A41	010100002040710000B81E85EB277B0641AE47E17A57171A41	 	 	 	0101000020D4100000B33A64A64E3E1740540548BC04EB4940	0101000020E610000077089D06CC3D1740ECC8C690E5EA4940
107083	94	2318	94-2318	1899	Neerbosch II	Weesinrichting. Stang	0101000020806C0400C3F5285CBB610641713D0AD723251A41	010100002040710000C3F5285CBB610641713D0AD723251A41	 	 	 	0101000020D4100000E1AC3CFA4A321740B7537C3B0AEC4940	0101000020E61000006F14B0CEC83117406FE83908EBEB4940
107084	94	2319	94-2319	1901	Neeritter	R. C. K. Stang	0101000020806C04007B14AE47677C06413D0AD7A381871541	0101000020407100007B14AE47677C06413D0AD7A381871541	 	 	 	0101000020D4100000A35F1B84893817409B53794D04954940	0101000020E6100000C2C204B606381740F6C3AAB5E7944940
107085	94	2320	94-2320	1901	Neerkant	R. C. K. Dakruiter. Stang boven knop	0101000020806C0400E17A14AE45FB0641CDCCCCCCFDEE1641	010100002040710000E17A14AE45FB0641CDCCCCCCFDEE1641	 	 	 	0101000020D41000008E227F302E761740EF6F432A76AF4940	0101000020E610000079896F39A9751740FE564BC758AF4940
107086	94	2321	94-2321	1907	Neerlangbroek	H. K. Stang	0101000020806C04007B14AE47076B02418FC2F528A3481B41	0101000020407100007B14AE47076B02418FC2F528A3481B41	 	 	 	0101000020D410000038DDB5EC7E4F1540D72BD5A498014A40	0101000020E6100000D17BABFA0E4F1540BDABBAD078014A40
107087	94	2322	94-2322	1904	Neerlangel	R. C. K. Stang boven knop	0101000020806C04003D0AD7A31A180541EC51B81E10E71941	0101000020407100003D0AD7A31A180541EC51B81E10E71941	 	 	^	0101000020D4100000D8F5759152951640468EC14486E74940	0101000020E61000000D660F3ED69416402D65693567E74940
107088	94	2323	94-2323	1906	Neerijnen	H. K. Stang boven knop	0101000020806C0400A4703D0AB702024148E17A142E101A41	010100002040710000A4703D0AB702024148E17A142E101A41	 	 	 	0101000020D410000006989D21251E1540A3AFA11695EA4940	0101000020E6100000AEB373D9B61D154083CBD1F375EA4940
107089	94	2324	94-2324	1925	Nes (Ameland) I	Alleenstaande toren. Stang	0101000020806C040000000000000A064148E17A947E832241	01010000204071000000000000000A064148E17A947E832241	 	 	 	0101000020D4100000153044B0A8161740AFF656592CB94A40	0101000020E6100000E6094E9428161740ADB365FD06B94A40
107090	94	2325	94-2325	1925	Nes (Ameland) II	R. C. K. Stang boven knop	0101000020806C0400F6285C8F1E18064148E17A948E842241	010100002040710000F6285C8F1E18064148E17A948E842241	 	 	 	0101000020D41000002767D95BA21D1740EE1106AD53B94A40	0101000020E6100000797ECCFA211D17406911D94F2EB94A40
107091	94	2326	94-2326	1925	Nes (Westdongeradeel) II	G. K. Stang boven knop	0101000020806C0400EC51B81EC34B084114AE47E10C592241	010100002040710000EC51B81EC34B084114AE47E10C592241	 	 	 	0101000020D4100000EF39FB27D732184026913617C5B24A40	0101000020E6100000B8F0FEFF4B3218401AC3E2EA9FB24A40
107092	94	2327	94-2327	1917	de Nes (Nieuweramstel)	R. C. K. Stang boven knop	0101000020806C04003D0AD7A3B844FD40CDCCCCCCB5FC1C41	0101000020407100003D0AD7A3B844FD40CDCCCCCCB5FC1C41	*	 	 	0101000020D4100000A831B8D7267E13400A3900FE90214A40	0101000020E610000080C67CB7C87D13406DB20B3B70214A40
107093	94	2328	94-2328	1903	Netersel	R. C. K. Stang boven knop	0101000020806C040052B81E85CF70014133333333482B1741	01010000204071000052B81E85CF70014133333333482B1741	 	 	 	0101000020D41000006DD5CAFF75DA1440B110C5A302B44940	0101000020E6100000BA9317C809DA144013868924E5B34940
107094	94	489	94-489	1900	Netterden	R. C. K. Stang boven onderste krul	0101000020806C040048E17A14A0B40A419A9999996B411A41	01010000204071000048E17A14A0B40A419A9999996B411A41	*	 	 	0101000020D4100000A3C774A7FF401940FBF20D65BFED4940	0101000020E610000025D7FDC9694019408BEE4722A0ED4940
107095	94	2329	94-2329	1901	Neu-Haaren (D.)	R. C. K. Stang boven knop	0101000020806C04007B14AE47E17908415C8FC2F50D0B1541	0101000020407100007B14AE47E17908415C8FC2F50D0B1541	 	 	 	0101000020D41000005C70120030261840985FB802B78B4940	0101000020E610000074CD7169A4251840CB22C4B09A8B4940
107096	94	2330	94-2330	1904	Neuprick	Schoorsteen. As	0101000020806C0400CDCCCCCC48C808416666666672741341	010100002040710000CDCCCCCC48C808416666666672741341	 	 	^	0101000020D4100000FF56466E50471840E06220E7BE6D4940	0101000020E610000047B7CE89C34618408A019D7AA36D4940
107097	94	2331	94-2331	1922	Neurhede (D.)	Kerktoren. Stang	0101000020806C04003333333381021141C3F528DC2E222141	0101000020407100003333333381021141C3F528DC2E222141	 	 	 	0101000020D4100000AA02FE5215ED1C401700FBC469834A40	0101000020E6100000291BB0865BEC1C400CB9120746834A40
107098	94	2332	94-2332	1925	Niawier	H. K. Stang	0101000020806C0400EC51B81E814E084133333333753D2241	010100002040710000EC51B81E814E084133333333753D2241	 	 	 	0101000020D410000087042BC2B03318409447D3EFB4AE4A40	0101000020E61000002073888E253318402BDAC3E28FAE4A40
107099	94	2333	94-2333	1911	Nibbinwoud I	R. C. K. Stang boven knop	0101000020806C0400AE47E17A80370041C3F5285C12E51F41	010100002040710000AE47E17A80370041C3F5285C12E51F41	 	 	 	0101000020D4100000C246F6AC653D14403BA0842976584A40	0101000020E6100000E46E40E0003D1440DE0BA8BD53584A40
107100	94	2334	94-2334	1911	Nibbixwoud II	H. K. Stang	0101000020806C0400C3F5285C1D3E004185EB51B8F8E61F41	010100002040710000C3F5285C1D3E004185EB51B8F8E61F41	 	 	 	0101000020D41000004EF8881D98401440CDC9D5409A584A40	0101000020E610000077D6FC313340144070A0D7D377584A40
107101	94	490	94-490	1912	St.-Nicolaasga I	R. C. K. Stang boven knop	0101000020806C04001F85EB51D6D90541666666666EBD2041	0101000020407100001F85EB51D6D90541666666666EBD2041	*	 	 	0101000020D4100000F4D12A6177FA1640FA5F4D0A54764A40	0101000020E610000044E99B02F8F9164086A3E4B030764A40
107102	94	2335	94-2335	1923	St.-Nicolaasga II	H. K. Stang	0101000020806C040052B81E8585D2054185EB51384CBE2041	01010000204071000052B81E8585D2054185EB51384CBE2041	 	 	 	0101000020D4100000C056C4E1E8F616400893BC0A75764A40	0101000020E6100000F93A48A669F61640F0045DB051764A40
107103	94	2336	94-2336	1923	Niebert	H. K. Stang	0101000020806C040033333333AB9A0A411F85EBD137902141	01010000204071000033333333AB9A0A411F85EBD137902141	 	 	 	0101000020D41000000B28A071BF501940D5B4F6FCF5944A40	0101000020E610000025EEDA2C29501940C2A429B5D1944A40
107104	95	2337	95-2337	1919	Niehove	H. K. Stang boven bol	0101000020806C04009A99999971E40A41AE47E17A52FF2141	0101000020407100009A99999971E40A41AE47E17A52FF2141	 	 	 	0101000020D410000073854A99DA771940286F5D0548A54A40	0101000020E6100000AA50EDD54277194035A7F03F23A54A40
107105	95	2338	95-2338	1920	Niekerk (0ldekerk)	H. K. Stang	0101000020806C04000AD7A370F1CA0A41AE47E1FA5DC72141	0101000020407100000AD7A370F1CA0A41AE47E1FA5DC72141	 	 	 	0101000020D4100000B7AA9126D9691940EDB698740E9D4A40	0101000020E6100000D933F6EB41691940E78279EEE99C4A40
107106	95	2339	95-2339	1919	Niekerk (Ulrum)	H. K. Stang	0101000020806C0400E17A14AE29950A41AE47E1FAE82B2241	010100002040710000E17A14AE29950A41AE47E1FAE82B2241	 	 	 	0101000020D41000006BD82C200B521940B1917B5FE2AB4A40	0101000020E61000000731CAD4745119407DDA4B67BDAB4A40
107107	95	2340	95-2340	1899	Niel (D.)	Kerktoren. Stang	0101000020806C0400CDCCCCCC2A3D0841A4703D0A5B081A41	010100002040710000CDCCCCCC2A3D0841A4703D0A5B081A41	 	 	 	0101000020D4100000F2080C2D261418402BBD4C72CBE94940	0101000020E61000007FD8618D9B131840218DE64EACE94940
107108	95	2341	95-2341	1906	Nieuwaal	H. K. Stang onder kruis	0101000020806C040000000000382F0141EC51B81EC4EE1941	01010000204071000000000000382F0141EC51B81EC4EE1941	 	 	 	0101000020D4100000F95A8FDCADB91440E994C2DA1AE84940	0101000020E61000009D854C5043B9144010BB46CCFBE74940
107109	95	491	95-491	1912	Nieuw-Amsterdam I	H. K. Stang boven ondersten bol	0101000020806C0400CDCCCCCCE81C0F41B81E856B6D0F2041	010100002040710000CDCCCCCCE81C0F41B81E856B6D0F2041	*	 	 	0101000020D410000041411C43BD761B408A762648995B4A40	0101000020E6100000219607F411761B403F0D25BA765B4A40
107110	95	2342	95-2342	1912	Nieuw-Amsterdam II	Postkantoor. Stang boven knop	0101000020806C0400666666665A130F41D7A3703DC30F2041	010100002040710000666666665A130F41D7A3703DC30F2041	 	 	^	0101000020D4100000AF88DA801E721B4015844DC1A75B4A40	0101000020E61000006779D85E73711B40BA30D832855B4A40
107111	95	2343	95-2343	1923	Nieuw-Appelscha	H. K. Stang onder bol	0101000020806C0400AE47E17A24E30A41713D0AD76CDA2041	010100002040710000AE47E17A24E30A41713D0AD76CDA2041	 	 	 	0101000020D41000007CFEE00A756F19402505D722297A4A40	0101000020E6100000B0693391DD6E1940D55925A9057A4A40
107112	95	2344	95-2344	1921	Nieuw-Beerta	H. K. Stang	0101000020806C0400295C8FC20BB3104185EB51B855AF2141	010100002040710000295C8FC20BB3104185EB51B855AF2141	 	 	 	0101000020D4100000467DED5147A61C4050D692BC55984A40	0101000020E6100000F27B702390A51C40F5C1385D31984A40
107113	95	2345	95-2345	1913	Nieuw-Beijerland	H. K. Stang boven knop	0101000020806C04005C8FC2F5D830F4401F85EB51C4F31941	0101000020407100005C8FC2F5D830F4401F85EB51C4F31941	*	 	 	0101000020D41000006F80EAA1365B11400A4A418AE5E74940	0101000020E61000007534454EEC5A1140DD51CB8CC6E74940
107114	95	2346	95-2346	1922	Nieuw-Buinen I	H. K. Stang onder bol	0101000020806C04007B14AE472D930F41713D0A577AE12041	0101000020407100007B14AE472D930F41713D0A577AE12041	 	 	 	0101000020D4100000E17643D4C8B81B40A10DB4F76D7A4A40	0101000020E6100000D02F3AE71AB81B40120BF27C4A7A4A40
107115	95	2347	95-2347	1922	Nieuw-Buinen II	G. K. Stang onder bol	0101000020806C0400CDCCCCCC30880F41CDCCCC4CF0DE2041	010100002040710000CDCCCCCC30880F41CDCCCC4CF0DE2041	 	 	 	0101000020D4100000F28E93AB52B31B401B21E27C107A4A40	0101000020E6100000183376F4A4B21B402F70E804ED794A40
107116	95	2348	95-2348	1912	Nieuw-Dordrecht	H. K. Stang boven knop	0101000020806C0400E17A14AEFDF50F41F6285C0F0C2E2041	010100002040710000E17A14AEFDF50F41F6285C0F0C2E2041	 	 	 	0101000020D4100000F2DA14104AE11B4084A8ACEDEF5F4A40	0101000020E61000009EC5DBAC9AE01B40E3B8CC3ECD5F4A40
107117	95	2349	95-2349	1909	Nieuwdorp	H. K. Stang	0101000020806C0400713D0AD7BBDBE340F6285C8F47B11741	010100002040710000713D0AD7BBDBE340F6285C8F47B11741	 	 	 	0101000020D4100000225856C83AEF0D40CC9F45E768BC4940	0101000020E6100000C54A6739D2EE0D40205DE6464BBC4940
107118	95	492	95-492	1923	Nieuwehorne	H. K. Stang onder knop	0101000020806C04001F85EB519A670841C3F5285CBDD52041	0101000020407100001F85EB519A670841C3F5285CBDD52041	*	 	 	0101000020D4100000A4317D94793918404FE4A091BC794A40	0101000020E6100000E1524AFEED3818408EC2131C99794A40
107119	95	2350	95-2350	1915	Nieuwendam I	R. C. K. Stang boven knop	0101000020806C04005C8FC2F52C55FE40713D0AD7C3DE1D41	0101000020407100005C8FC2F52C55FE40713D0AD7C3DE1D41	*	 	 	0101000020D410000003E20AD830BE134081C3C1B63E324A40	0101000020E61000008420C57AD0BD1340A0A29A721D324A40
107120	95	2351	95-2351	1915	Nieuwendam II	H. K. Stang boven knop	0101000020806C04001F85EB51B06BFE400AD7A37028DF1D41	0101000020407100001F85EB51B06BFE400AD7A37028DF1D41	*	 	 	0101000020D4100000002C2D979BC313405EBF81C746324A40	0101000020E6100000EFE27D053BC31340475E068325324A40
107121	95	2352	95-2352	1906	Nieuwendijk	H. K. Stang	0101000020806C040000000000B8FEFD4014AE47E13FA71941	01010000204071000000000000B8FEFD4014AE47E13FA71941	 	 	 	0101000020D410000026727C3B0CB01340A0B3BF3EBEE24940	0101000020E61000005D09BD8DABAF134086C25F5D9FE24940
107122	95	2353	95-2353	1903	Nieuwenhage	R. C. K. Laagste toren. Stang boven knop	0101000020806C04008FC2F528A68D084152B81E8504C81341	0101000020407100008FC2F528A68D084152B81E8504C81341	 	 	 	0101000020D4100000C2E08C30B92C1840B528866EEB734940	0101000020E610000095BAF5492D2C1840F1C9D8D2CF734940
107123	95	2354	95-2354	1913	Nieuwenhoorn	H. K. Stang	0101000020806C04007B14AE479DE7F0400AD7A370EE421A41	0101000020407100007B14AE479DE7F0400AD7A370EE421A41	*	 	 	0101000020D41000006C241B5812921040D62A0F327BED4940	0101000020E6100000798B6B9ECF911040203A670E5CED4940
107124	95	139	95-139	1899	Nieuwe-Niedorp I	H. K. Stang onder haan	0101000020806C0400508D976E6EB5FD40C74B37893C1C2041	010100002040710000508D976E6EB5FD40C74B37893C1C2041	*	 	 	0101000020D410000060502498C9931340C07F5C7E875E4A40	0101000020E610000096DCEA536B931340D50D81E6645E4A40
107125	95	2355	95-2355	1912	Nieuwe-Niedorp II	R. C. K. Stang boven knop	0101000020806C0400295C8FC2FD02FE405C8FC2F56A202041	010100002040710000295C8FC2FD02FE405C8FC2F56A202041	 	 	 	0101000020D4100000D96E771B8DA61340BF259E90275F4A40	0101000020E61000007154B8212EA61340B600A5F3045F4A40
107126	95	2356	95-2356	1912	Nieuwe-Niedorp III	Doopsgezinde kerk. Stang onder kruis	0101000020806C0400F6285C8F0ABDFD40D7A370BD2E1D2041	010100002040710000F6285C8F0ABDFD40D7A370BD2E1D2041	 	 	 	0101000020D4100000282FC1099F9513407A763267AB5E4A40	0101000020E610000043E004B440951340B4283BCE885E4A40
107127	95	2357	95-2357	1922	Nieuwe-Pekela I	H. K. Stang	0101000020806C04007B14AE47BDCC0F4166666666A4482141	0101000020407100007B14AE47BDCC0F4166666666A4482141	 	 	 	0101000020D4100000321FD6343DD91B40530BC4D791894A40	0101000020E61000006AD2B7FB8DD81B40A6EDBAE86D894A40
107128	95	2358	95-2358	1922	Nieuwe-Pekela II	Luthersche kerk. Stang	0101000020806C04009A999999BDF20F41713D0AD702552141	0101000020407100009A999999BDF20F41713D0AD702552141	 	 	 	0101000020D4100000D93982A059EC1B40567C4D115C8B4A40	0101000020E61000005CBC92A9A9EB1B40E03B9914388B4A40
107129	95	2359	95-2359	1916	Nieuwerkerk (N. H.)	R. C. K. Stang boven knop	0101000020806C0400A4703D0AFB40FB4014AE47E1CC921D41	010100002040710000A4703D0AFB40FB4014AE47E1CC921D41	*	 	 	0101000020D41000005FF88CD81A01134084CF04E48A2C4A40	0101000020E61000005B683692C1001340F3D8E7CE692C4A40
107130	95	2360	95-2360	1910	Nieuwerkerk (Zl.) I	H. K. Stang onder kruis	0101000020806C040066666666A6D1EC40713D0AD788E11841	01010000204071000066666666A6D1EC40713D0AD788E11841	 	 	 	0101000020D4100000246E242E9500104063F37ED03FD34940	0101000020E6100000E2BC0575570010407A3FC77921D34940
107131	95	2361	95-2361	1910	Nieuwerkerk (Zl.) II	G. K. Stang	0101000020806C040085EB51B816FAEC40A4703D0A32E11841	01010000204071000085EB51B816FAEC40A4703D0A32E11841	 	 	 	0101000020D410000084F47B01600510407A8E713C3BD34940	0101000020E6100000F617A21A220510402588BDE51CD34940
107132	96	2362	96-2362	1916	Nieuwerkerk a/d IJssel I	H. K. Stang	0101000020806C040085EB51B89EB7F84066666666AA051B41	01010000204071000085EB51B89EB7F84066666666AA051B41	*	 	^	0101000020D41000006E311C4FBB6B1240814EE15555FC4940	0101000020E6100000FD9ECA0F676B1240821BDAB535FC4940
107133	96	2363	96-2363	1916	Nieuwerkerk a/d IJssel II	R. C. K. Stang boven knop	0101000020806C0400B81E85EBB105F940E17A14AECBF71A41	010100002040710000B81E85EBB105F940E17A14AECBF71A41	*	 	 	0101000020D4100000CDF2CFBF7C7E12405A87F3CB53FB4940	0101000020E610000007C936C9277E12409497483334FB4940
107134	96	2364	96-2364	1917	Nieuwer-ter-Aa	H. K. Stang boven bol	0101000020806C04008FC2F5284805FF4014AE47E139831C41	0101000020407100008FC2F5284805FF4014AE47E139831C41	*	 	 	0101000020D4100000CD2E632F78EA1340C1605B68AC184A40	0101000020E6100000B8AEE6E015EA13400F6AF6E78B184A40
107135	96	2365	96-2365	1909	Nieuwesluis I	Vuurtoren. Stang boven bol	0101000020806C0400E17A14AEE798D8408FC2F52894471741	010100002040710000E17A14AEE798D8408FC2F52894471741	 	 	 	0101000020D41000000D1B440A1B2C0C402153B41333B44940	0101000020E61000005B4704E1C22B0C40C07CECB815B44940
107136	96	2366	96-2366	1909	Nieuwesluis II	Kustlicht. Stang boven bol	0101000020806C040033333333F38FD740B81E85EB51461741	01010000204071000033333333F38FD740B81E85EB51461741	 	 	 	0101000020D41000008CA7DA14FB0C0C4083B5115613B44940	0101000020E6100000CAD23211A40C0C404420B7FCF5B34940
107137	96	2367	96-2367	1908	Nieuwe-Tonge	H. K. Stang boven knop	0101000020806C04003D0AD7A33037F140CDCCCCCC424E1941	0101000020407100003D0AD7A33037F140CDCCCCCC424E1941	 	!	 	0101000020D4100000DDCA2E4DE8A810400A09CBD57DDB4940	0101000020E610000081AE1E71A4A810403F5BA73B5FDB4940
107138	96	2368	96-2368	1913	Nieuw-Helvoet	H. K. Stang	0101000020806C0400000000000891F040F6285C8F5B271A41	010100002040710000000000000891F040F6285C8F5B271A41	*	 	 	0101000020D4100000C0D6A642F07D10407B525D6E6CEB4940	0101000020E61000004AFF4641AE7D10408D14FE5A4DEB4940
107139	96	140	96-140	1897	Nieuwkoop I	Alleenstaande toren. Stang onder windwijzer	0101000020806C040017D9CEF723B1FB40F4FDD4F8E63C1C41	01010000204071000017D9CEF723B1FB40F4FDD4F8E63C1C41	 	 	^	0101000020D4100000E92DF2E3D41E1340810024A262134A40	0101000020E61000000D9631327A1E13400E4AC24D42134A40
107140	96	2369	96-2369	1917	Nieuwkoop II	H. K. Stang boven knop	0101000020806C04003D0AD7A3F0B1FB405C8FC2F5753B1C41	0101000020407100003D0AD7A3F0B1FB405C8FC2F5753B1C41	*	 	 	0101000020D410000034DE68D9081F134058D62F7E47134A40	0101000020E6100000FD4A6225AE1E1340E8A99D2A27134A40
107141	96	2370	96-2370	1917	Nieuwkoop III	R. C. K. Stang boven bol	0101000020806C040052B81E8513A6FB406666666691391C41	01010000204071000052B81E8513A6FB406666666691391C41	*	 	 	0101000020D41000002295B1A4351C13406C2DF45723134A40	0101000020E61000000AD7780BDB1B1340B975840503134A40
107142	96	2371	96-2371	1905	Nieuwkuik	R. C. K. Stang boven knop	0101000020806C0400EC51B81EB52C0141E17A14AE891C1941	010100002040710000EC51B81EB52C0141E17A14AE891C1941	 	 	 	0101000020D41000007E040ED30DB914407C938E849FD84940	0101000020E6100000540BE029A3B814408E49E6EC80D84940
107143	96	2372	96-2372	1917	Nieuwland (Nieuwland)	H. K. Stang	0101000020806C0400666666661690FF40E17A14AE988A1A41	010100002040710000666666661690FF40E17A14AE988A1A41	*	 	 	0101000020D4100000CED2C709390E14407F73B70B87F34940	0101000020E6100000E3F7CC02D50D14403A7105A867F34940
107144	96	2373	96-2373	1909	Nieuwland (Nieuw- en St.-Joosland)	H. K. Stang boven bol	0101000020806C0400EC51B81ED501E1405C8FC2F5E1C71741	010100002040710000EC51B81ED501E1405C8FC2F5E1C71741	 	 	 	0101000020D4100000134FB3D723420D40AB7F2F0EEBBD4940	0101000020E61000002EC35EC1C1410D40CCC7BA64CDBD4940
107145	96	2374	96-2374	1913	Nieuwland (Vierpolders)	H. K. Stang	0101000020806C0400E17A14AE1B8DF1401F85EB51586E1A41	010100002040710000E17A14AE1B8DF1401F85EB51586E1A41	*	 	 	0101000020D4100000E1CB0A9FBDB8104076B028A2BAF04940	0101000020E610000027292C8079B81040389EA4649BF04940
107146	96	2375	96-2375	1916	Nieuw-Lekkerland I	H. K. Stang boven knop	0101000020806C0400AE47E17AC017FA40000000001D7B1A41	010100002040710000AE47E17AC017FA40000000001D7B1A41	*	 	 	0101000020D4100000DB9AEFBCF7C012409FD8977432F24940	0101000020E6100000141FDC2BA0C012406CCAC22013F24940
107147	96	3642	96-3642	1916	Nieuw-Lekkerland II	Watertoren. Vlaggestok	0101000020806C04000AD7A3700D35FA401F85EB51527D1A41	0101000020407100000AD7A3700D35FA401F85EB51527D1A41	*	 	 	0101000020D4100000877E050AECC7124093A0C7675DF24940	0101000020E6100000EB12D53694C71240E1C187123EF24940
107148	96	2376	96-2376	1908	Nieuw-Loosdrecht	H. K. Stang boven knop	0101000020806C040048E17A14FCB200413333333343841C41	01010000204071000048E17A14FCB200413333333343841C41	 	 	^	0101000020D41000003B03763B557C1440B143204ACD184A40	0101000020E6100000DF43026EED7B1440F21E92C6AC184A40
107149	96	3643	96-3643	1917	Nieuw-Loosdrecht	H. K. Stang boven knop	0101000020806C0400B81E85EBFBB20041E17A14AE43841C41	010100002040710000B81E85EBFBB20041E17A14AE43841C41	*	 	 	0101000020D4100000E1906527557C144034412B53CD184A40	0101000020E6100000D1A8F259ED7B144047D79CCFAC184A40
107150	96	2377	96-2377	1907	Nieuwmoer (B.)	R. C. K. Stang	0101000020806C0400A4703D0A2717F7400AD7A37045601741	010100002040710000A4703D0A2717F7400AD7A37045601741	 	 	 	0101000020D41000009BD0A15B0F1312408CB2A3D583B74940	0101000020E61000005B4F2887BD1212405902794766B74940
107151	96	2378	96-2378	1921	Nieuwolda	H. K. Stang boven peer	0101000020806C0400C3F5285CC9D70F41EC51B81EACDC2141	010100002040710000C3F5285CC9D70F41EC51B81EACDC2141	 	 	 	0101000020D4100000748378C802E51B40E52B988F599F4A40	0101000020E61000006A5D660753E41B40EB9314F9349F4A40
107152	96	2379	96-2379	1917	Nieuwpoort	H. K. Stang boven knop	0101000020806C0400C3F5285C2F25FD40B81E85EBE2C41A41	010100002040710000C3F5285C2F25FD40B81E85EBE2C41A41	*	 	 	0101000020D4100000146FF934797A1340E9867000C0F74940	0101000020E61000006FFCF8C11A7A13402DB9B17EA0F74940
107153	96	2380	96-2380	1921	Nieuw-Scheemda	H. K. Stang	0101000020806C040085EB51B8DE9A0F4148E17A1408BF2141	01010000204071000085EB51B8DE9A0F4148E17A1408BF2141	 	 	 	0101000020D4100000D9D62AA8DBC51B400D332930099B4A40	0101000020E6100000204BCB1E2DC51B401D5CADBAE49A4A40
107154	96	141	96-141	1894	Nieuw-Schoonebeek	R. C. K. Stang onder haan	0101000020806C04007593180482111041D9CEF75369AB1F41	0101000020407100007593180482111041D9CEF75369AB1F41	 	 	^	0101000020D410000076E0401357F31B40ACA8E452E5524A40	0101000020E610000013D6760BA7F21B40DE455A08C3524A40
107155	96	493	96-493	1912	Nieuw-Schoonebeek	R. C. K. Stang	0101000020806C04001F85EB5181111041AE47E17A6AAB1F41	0101000020407100001F85EB5181111041AE47E17A6AAB1F41	*	 	 	0101000020D4100000195C116D56F31B40FA16E468E5524A40	0101000020E6100000EA914D65A6F21B403B0A591EC3524A40
